Unnamed: 0,origin,destination,oid,sid,exitTime,entranceTime,speed,travelledDistance,Electric_sum,Aimsun_x,Origin-External-ID,Sim_x,Aimsun_y,Destenation-External-ID,Sim_y
682121,18360323,18360692,678680,154,31254.80615831974,30251.772022247314,12.979764423215949,13019.146794664031,1591,18360323.0,1214.0,40.0,18360692.0,2457.0,399.0
879181,18361233,18360907,885220,154,37119.37137119338,36391.02809429169,15.644659604983175,11394.682642705016,1345,18361233.0,3126.0,594.0,18360907.0,4035.0,662.0
1416359,18360363,18360308,1428135,154,53599.88454591449,53352.54671573639,6.46571335430435,1599.2155116071874,170,18360363.0,1404.0,78.0,18360308.0,1125.0,25.0
82503,18360313,18360454,78331,154,4925.070108743373,3939.029824733734,14.12626839077666,13929.069696037795,1840,18360313.0,1204.0,30.0,18360454.0,1807.0,169.0
615805,18361149,18361250,599745,18341725,28632.256860300244,26950.073217233552,24.61147071334769,41401.0134658084,6483,18361149.0,41.0,915.0,,,
719913,18360635,18360619,730983,154,32537.4773455672,32019.161081314087,7.516403799495143,3895.87433797223,360,18360635.0,2316.0,341.0,18360619.0,2240.0,325.0
761062,18360589,18360633,770186,154,33835.63693365349,33212.06216812134,7.720577969570389,4814.357597147568,459,18360589.0,2210.0,295.0,18360633.0,2314.0,339.0
724913,18361128,18361121,744292,154,32705.4586915511,32449.94648694992,15.604829778001536,3987.2244590032897,493,18361128.0,3029.0,568.0,18361121.0,3006.0,546.0
468834,18361249,18360694,465841,18341725,19857.20033354333,18729.48832511902,23.03995031753481,25982.428646583518,4044,,,,18360694.0,2501.0,401.0
809608,18360535,18360542,833287,154,35243.9068066736,35005.49984773892,6.334572446913442,1510.2061532200714,128,18360535.0,2031.0,247.0,18360542.0,2038.0,253.0
61791,18360286,18361142,66141,154,4195.296579726147,3524.1110801696777,22.06681297481632,14810.924890121263,2206,18360286.0,1103.0,3.0,18361142.0,3030.0,569.0
564083,18360705,18360450,568399,154,25938.75968685433,25269.78657245636,17.11700916421144,11450.818929761052,1587,18360705.0,2601.0,412.0,18360450.0,1803.0,165.0
950364,18361149,18361250,896487,18341725,38912.71154823798,36679.36325532315,15.683203704029028,35026.05621982877,5531,18361149.0,41.0,915.0,,,
1050523,18361101,18361078,1074601,154,41452.80665861225,41203.5279750824,13.463429809460512,3356.146058698908,317,18361101.0,5402.0,854.0,18361078.0,5350.0,831.0
22374,18361249,18361164,35284,18341725,2393.310612089073,2127.434145918246,22.012066324236017,5852.490407405736,888,,,,18361164.0,43.0,917.0
723201,18360686,18360623,736261,154,32647.54743525418,32191.464686393738,8.10085944021158,3694.662241623751,348,18360686.0,2451.0,393.0,18360623.0,2304.0,329.0
600616,18360622,18361249,583825,18341725,27899.882014541563,26103.96314620972,19.437666399180195,34908.471842627645,5321,18360622.0,2303.0,328.0,,,
578214,18360454,18361249,577458,18341725,26743.651873783543,25753.36456298828,20.69308961411632,20492.10406600861,3167,18360454.0,1807.0,169.0,,,
1346443,18361149,18361250,1322588,18341725,50587.54527626669,48852.54685458951,22.59186290471712,39196.84648243138,6015,18361149.0,41.0,915.0,,,
465549,18361105,18361064,471253,154,19644.60726296775,19096.951389312744,17.583129125521676,9629.50394282637,1255,18361105.0,5406.0,857.0,18361064.0,5336.0,817.0
1209323,18361168,18360354,1181345,154,45894.76445939457,44198.236870765686,17.850019073660725,30283.04981601728,4488,18361168.0,5635.0,904.0,18360354.0,1325.0,70.0
1418288,18360567,18360473,1425490,154,53694.46861191641,53224.87893104553,20.9365993523123,9831.611008373777,1425,18360567.0,2115.0,274.0,18360473.0,1908.0,188.0
961535,18361249,18361246,979435,18341725,39194.226945132905,38754.60826487554,22.60352288510716,9936.93089991795,1545,,,,18361246.0,5370.0,848.0
527249,18361018,18361101,536929,154,23708.72405035372,23373.13542366028,11.154677039922568,3743.382749036495,400,18361018.0,5214.0,772.0,18361101.0,5402.0,854.0
224837,18360289,18361115,216266,154,9045.331332962996,8013.407778739929,14.316797157698652,14773.840208063071,2068,18360289.0,1106.0,6.0,18361115.0,3012.0,552.0
87489,18361164,18361249,79873,18341725,5094.437772945278,3991.650221058207,22.556112219888306,24874.599775060666,3916,18361164.0,43.0,917.0,,,
686916,18361249,18361164,696723,18341725,31421.28810765088,30880.787987901826,18.644464902756823,10077.335512597145,1316,,,,18361164.0,43.0,917.0
482816,18360863,18360853,493602,154,20792.616544276047,20590.085434913635,14.853325249808927,3008.2604405645184,275,18360863.0,3315.0,625.0,18360853.0,3305.0,615.0
650330,18361170,18361174,663887,154,30080.427591349577,29708.795070648197,15.457506193529754,5744.511990458707,778,18361170.0,5627.0,897.0,18361174.0,5624.0,894.0
871424,18361249,18361059,866542,18341725,36920.61577187946,35918.040975891505,17.987607595249962,18033.922015119064,2679,,,,18361059.0,5331.0,812.0
954669,18360477,18360469,977754,154,39019.45450739293,38712.90507316589,13.091205759495365,4013.101718923064,538,18360477.0,1912.0,192.0,18360469.0,1904.0,184.0
507476,18361249,18360660,498107,18341725,22472.18608591473,20911.41128540039,21.931224302849376,34229.70223631507,5248,,,,18360660.0,2425.0,367.0
1226028,18360569,18360541,1232189,154,46429.04426283344,45753.86145114899,9.258822305901658,6251.397677385434,638,18360569.0,2117.0,276.0,18360541.0,2037.0,252.0
1356813,18361149,18361250,1325802,18341725,50980.10896829094,48976.36403624668,26.540739729253115,53180.87272519651,8345,18361149.0,41.0,915.0,,,
180208,18361250,18361249,145456,18341725,7823.710765651202,6024.964199363827,20.49585784335085,36866.8539188415,5781,,,,,,
378449,18361249,18361040,379483,18341725,14470.41849974933,13682.056624393612,17.758863751589924,14000.41113139012,1998,,,,18361040.0,5312.0,794.0
1174749,18360928,18360299,1162982,154,44850.300083768736,43635.46993732453,15.661731963871397,19026.344135239884,2699,18360928.0,4056.0,683.0,18360299.0,1116.0,16.0
424842,18360970,18360440,420229,154,17023.65181685534,15869.262170791626,13.933079798158843,16084.203056774088,2100,18360970.0,4509.0,724.0,18360440.0,1720.0,155.0
357460,18360788,18361250,355020,18341725,13464.6950635332,12518.125247955322,21.71276307436745,20552.64613899014,3032,18360788.0,2862.0,489.0,,,
1296649,18360897,18360930,1306453,154,48772.97988580711,48270.422065258026,7.791570531532664,3915.714704981508,377,18360897.0,4025.0,652.0,18360930.0,4058.0,685.0
452489,18360773,18361250,447998,18341725,18780.291537253725,17579.206895828247,22.61545187780196,27163.071909324903,4169,18360773.0,2847.0,474.0,,,
654657,18360852,18361144,671314,154,30243.155961281376,29982.87091255188,14.593688544505028,3798.518933949584,408,18360852.0,3304.0,614.0,18361144.0,3114.0,582.0
390297,18360934,18360952,399990,154,15065.551663785063,14705.31713962555,15.856137887206676,5711.928286805538,703,18360934.0,4062.0,689.0,18360952.0,4105.0,706.0
716641,18361076,18360788,729381,154,32427.74636478058,31968.95409822464,13.144436303179916,6030.565724136118,781,18361076.0,5348.0,829.0,18360788.0,2862.0,489.0
302788,18361250,18361149,250923,18341725,11281.335854000949,9195.339112230173,19.81590511820337,41335.91351181107,6441,,,,18361149.0,41.0,915.0
933779,18360701,18360932,943970,154,38509.79196285156,37887.16707229614,11.923203655075406,7423.683370811269,870,18360701.0,2508.0,408.0,18360932.0,4060.0,687.0
308441,18361078,18361066,317071,154,11482.824040478456,10965.379858016968,11.444489976502313,5921.884759579952,773,18361078.0,5350.0,831.0,18361066.0,5338.0,819.0
839848,18361160,18361183,863306,154,36083.21126572276,35828.94415855408,18.506101115951875,4705.492795724131,665,18361160.0,5639.0,908.0,18361183.0,5609.0,879.0
389673,18360798,18361062,400928,154,15033.15720695274,14758.29463005066,10.604998355809576,2914.917176120161,271,18360798.0,2872.0,499.0,18361062.0,5334.0,815.0
91648,18360289,18361250,75518,18341725,5234.608026935972,3847.5932121276855,23.88671638343841,33131.22950095289,5137,18360289.0,1106.0,6.0,,,
