,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value,State,Value
0,"(2,E4)",-0.2357669457996645,"(1,E4)",69.29505235328678,"(1,E4)",76.81108250517345,"(1,E4)",83.65452877491892,"(1,E4)",89.86279844543441,"(1,E4)",95.4808349413011,"(1,E4)",100.5561041446716,"(1,E4)",105.13569140875562,"(1,E4)",109.26469024188336,"(1,E4)",112.98537520621534,"(1,E4)",116.33684522717544,"(2,E4)",5.834330105915666,"(1,E4)",119.3549438106487,"(1,E4)",122.0723373442761,"(1,E4)",124.51867896887173,"(1,E4)",126.72081417908136,"(1,E4)",128.70300202569723,"(1,E4)",130.48713669862775,"(1,E4)",132.09296095228353,"(1,E4)",133.5382669000804,"(1,E4)",134.83908215013972,"(1,E4)",136.00984070030572,"(2,E4)",15.206441311592345,"(1,E4)",137.06353884237,"(1,E4)",138.01187678175248,"(1,E4)",138.8653869077699,"(1,E4)",139.63354974247406,"(1,E4)",140.3248986092029,"(1,E4)",140.9471140300279,"(1,E4)",141.50710880525935,"(1,E4)",142.0111046607894,"(1,E4)",142.46470127785955,"(1,E4)",142.8729384491942,"(2,E4)",26.07365096715529,"(1,E4)",143.24035203777925,"(1,E4)",143.57102435112336,"(1,E4)",143.8686294851624,"(1,E4)",144.13647413817168,"(1,E4)",144.37753434602416,"(1,E4)",144.5944885456257,"(1,E4)",144.7897473330663,"(1,E4)",144.96548024661573,"(1,E4)",145.12363987182982,"(1,E4)",145.2659835364014,"(2,E4)",37.36759418179975,"(1,E4)",145.39409283568492,"(1,E4)",145.5093912057675,"(1,E4)",145.6131597392945,"(1,E4)",145.70655141975047,"(2,E4)",48.47385897577244,"(2,E4)",59.05546061026854,"(2,E4)",68.94350568629129,"(2,E4)",78.06961333707397
1,"(1,E4)",-0.2970176609731591,"(4,E4)",68.65319028622575,"(4,E4)",76.16150950443078,"(4,E4)",82.99793486562828,"(4,E4)",89.19983527541177,"(4,E4)",94.8121080494778,"(4,E4)",99.88217037322528,"(4,E4)",104.45705929350694,"(4,E4)",108.58182205579271,"(4,E4)",112.29868985142916,"(4,E4)",115.64672149301272,"(1,E4)",2.621224760374681,"(4,E4)",118.66172371343907,"(4,E4)",121.37632938686616,"(4,E4)",123.82016123201056,"(4,E4)",126.0200372018738,"(4,E4)",128.00019145911855,"(4,E4)",129.78249573170953,"(4,E4)",131.38667251933947,"(4,E4)",132.83049568193084,"(4,E4)",134.1299763843736,"(4,E4)",135.2995338162158,"(1,E4)",7.668531236577634,"(4,E4)",136.35215093594124,"(4,E4)",137.29951594535794,"(4,E4)",138.1521504282705,"(4,E4)",138.91952518036248,"(4,E4)",139.6101647703648,"(4,E4)",140.2317418406579,"(4,E4)",140.79116209949083,"(4,E4)",141.29464088969,"(4,E4)",141.74777214760618,"(4,E4)",142.15559049548077,"(1,E4)",14.050878798942332,"(4,E4)",142.5226271428138,"(4,E4)",142.85296020894535,"(4,E4)",143.15026002043967,"(4,E4)",143.4178298831255,"(4,E4)",143.6586427796663,"(4,E4)",143.8753743990744,"(4,E4)",144.07043286433287,"(4,E4)",144.24598548791343,"(4,E4)",144.4039828521525,"(4,E4)",144.54618048184454,"(1,E4)",22.518378131228687,"(4,E4)",144.67415834973528,"(4,E4)",144.7893384315637,"(4,E4)",144.89300050566143,"(4,E4)",144.98629637263076,"(1,E4)",32.67864978223445,"(1,E4)",42.6700819322071,"(1,E4)",52.18951593908257,"(1,E4)",61.08501170707185
2,"(4,E4)",-0.3218861548197368,"(5,E4)",60.19042293953007,"(5,E4)",66.71183875582449,"(5,E4)",72.76959367022641,"(5,E4)",78.36257019339224,"(5,E4)",83.50172503288566,"(5,E4)",88.20586799669772,"(5,E4)",92.49862223628249,"(5,E4)",96.40625642381848,"(5,E4)",99.95615858556064,"(5,E4)",103.17578038801962,"(4,E4)",2.358050257066964,"(5,E4)",106.0919247598259,"(5,E4)",108.73028261620075,"(5,E4)",111.11514896663412,"(5,E4)",113.26926694699044,"(5,E4)",115.2137619078872,"(5,E4)",116.96813779528232,"(5,E4)",118.55031556139122,"(5,E4)",119.97669890546194,"(5,E4)",121.2622567585852,"(5,E4)",122.42061496364738,"(4,E4)",7.060434276956638,"(5,E4)",123.46415183637352,"(5,E4)",124.40409393192004,"(5,E4)",125.25060953722712,"(5,E4)",126.01289827687027,"(5,E4)",126.69927584484503,"(5,E4)",127.31725332018247,"(5,E4)",127.873610837866,"(5,E4)",128.3744656033944,"(5,E4)",128.82533438564332,"(5,E4)",129.23119071778936,"(4,E4)",13.05916837079912,"(5,E4)",129.59651709430747,"(5,E4)",129.9253524840118,"(5,E4)",130.22133549256725,"(5,E4)",130.4877435085579,"(5,E4)",130.7275281592269,"(5,E4)",130.94334738841812,"(5,E4)",131.1375944522327,"(5,E4)",131.3124241090092,"(5,E4)",131.4697762605417,"(5,E4)",131.61139728171793,"(4,E4)",21.924505737636984,"(5,E4)",131.7388592564984,"(5,E4)",131.85357731970043,"(5,E4)",131.95682528659955,"(5,E4)",132.04974973602464,"(4,E4)",32.074353643752794,"(4,E4)",42.05553526663384,"(4,E4)",51.56520298428075,"(4,E4)",60.451572581067126
3,"(3,E4)",-0.3059584829387187,"(3,E4)",73.15965773448674,"(3,E4)",80.38971263753103,"(3,E4)",87.02401983562112,"(3,E4)",93.0837800231112,"(3,E4)",98.59964537408412,"(3,E4)",103.60728504001432,"(3,E4)",108.14444629851556,"(3,E4)",112.249044501107,"(3,E4)",115.9579573297514,"(3,E4)",119.30629814665586,"(3,E4)",4.024491575376642,"(3,E4)",122.32701241806384,"(3,E4)",125.05068939481586,"(3,E4)",127.50551478386322,"(3,E4)",129.71731347507924,"(3,E4)",131.7096475891947,"(3,E4)",133.5039463444719,"(3,E4)",135.1196520088334,"(3,E4)",136.57437156231816,"(3,E4)",137.88402737577775,"(3,E4)",139.06300272751676,"(3,E4)",11.138844926509291,"(3,E4)",140.1242796870247,"(3,E4)",141.07956804276688,"(3,E4)",141.93942471242784,"(3,E4)",142.71336356957465,"(3,E4)",143.40995593422022,"(3,E4)",144.03692216438068,"(3,E4)",144.60121489173508,"(3,E4)",145.10909449475713,"(3,E4)",145.56619741639375,"(3,E4)",145.97759792367123,"(3,E4)",19.788653349513147,"(3,E4)",146.34786388250504,"(3,E4)",146.68110708854783,"(3,E4)",146.98102865820954,"(3,E4)",147.25095994571151,"(3,E4)",147.49389941392934,"(3,E4)",147.71254584992718,"(3,E4)",147.90932828113253,"(3,E4)",148.08643291539485,"(3,E4)",148.2458273978654,"(3,E4)",148.38928264975124,"(3,E4)",29.14283052253655,"(3,E4)",148.51839252847563,"(3,E4)",148.63459152551152,"(3,E4)",148.73917069700843,"(3,E4)",148.83329200315623,"(3,E4)",38.65770847841184,"(3,E4)",47.98668698960631,"(3,E4)",56.91749589572554,"(3,E4)",65.3287069935954
4,"(5,E4)",-0.3433024392415205,"(2,E4)",86.42427359131638,"(2,E4)",94.03130381824192,"(2,E4)",100.93228516287566,"(2,E4)",107.1771757860351,"(2,E4)",112.81873775905832,"(2,E4)",117.9093101653536,"(2,E4)",122.49901799566165,"(2,E4)",126.63485275974368,"(2,E4)",130.3602759966863,"(2,E4)",133.71513059002504,"(5,E4)",2.781987361265756,"(2,E4)",136.73572780580832,"(2,E4)",139.4550294486014,"(2,E4)",141.90287640283267,"(2,E4)",144.10623451661127,"(2,E4)",146.0894409086727,"(2,E4)",147.87444120752716,"(2,E4)",149.48101275038445,"(2,E4)",150.9269714876648,"(2,E4)",152.22836194628755,"(2,E4)",153.39963052951217,"(5,E4)",8.163823078036641,"(2,E4)",154.4537829383819,"(2,E4)",155.4025267542434,"(2,E4)",156.25640032502437,"(2,E4)",157.02488911258263,"(2,E4)",157.71653062291355,"(2,E4)",158.3390089787295,"(2,E4)",158.89924011902676,"(2,E4)",159.4034485311156,"(2,E4)",159.85723634206497,"(2,E4)",160.26564552129764,"(5,E4)",14.929327962058604,"(2,E4)",160.63321387555456,"(2,E4)",160.96402545222048,"(2,E4)",161.26175590720624,"(2,E4)",161.52971333908525,"(2,E4)",161.7708750417092,"(2,E4)",161.98792058274017,"(2,E4)",162.18326157506243,"(2,E4)",162.35906847150903,"(2,E4)",162.5172946803995,"(2,E4)",162.6596982697004,"(5,E4)",22.45596638760857,"(2,E4)",162.7878615008799,"(2,E4)",162.90320840944457,"(2,E4)",163.00702062746586,"(2,E4)",163.10045162387982,"(5,E4)",30.305431994473075,"(5,E4)",38.17449565431016,"(5,E4)",45.85851016593822,"(5,E4)",53.224355698832895
5,"(3,E3)",-0.3059584829387187,"(1,E3)",68.45173525303711,"(1,E3)",75.95155251832762,"(1,E3)",82.7802367373553,"(1,E3)",88.97511450149305,"(1,E3)",94.58103228751423,"(1,E3)",99.64535358855112,"(1,E3)",104.21506218963492,"(1,E3)",108.33515432754136,"(1,E3)",112.04781337364685,"(1,E3)",115.39205391278178,"(3,E3)",4.024491575376642,"(1,E3)",118.4036421325283,"(1,E3)",121.1151739556107,"(1,E3)",123.55623855782434,"(1,E3)",125.75362352519154,"(1,E3)",127.73153557911898,"(1,E3)",129.5118216813892,"(1,E3)",131.11418199916503,"(1,E3)",132.55637026635725,"(1,E3)",133.8543795178102,"(1,E3)",135.02261261567998,"(3,E3)",11.138844926509291,"(1,E3)",136.07403781735707,"(1,E3)",137.02033008965793,"(1,E3)",137.87199910240116,"(1,E3)",138.63850492713132,"(1,E3)",139.32836247988877,"(1,E3)",139.94923571503168,"(1,E3)",140.5080225212154,"(1,E3)",141.01093120339925,"(1,E3)",141.46354936370903,"(1,E3)",141.87090592349352,"(3,E3)",19.788653349513147,"(1,E3)",142.23752696139354,"(1,E3)",142.56748597894077,"(1,E3)",142.86444914665032,"(1,E3)",143.13171602989323,"(1,E3)",143.37225624491262,"(1,E3)",143.58874245093725,"(1,E3)",143.7835800441418,"(1,E3)",143.95893388286837,"(1,E3)",144.1167523407354,"(1,E3)",144.2587889546905,"(3,E3)",29.14283052253655,"(1,E3)",144.38662190841669,"(1,E3)",144.50167156749612,"(1,E3)",144.60521626111932,"(1,E3)",144.6984064856612,"(3,E3)",38.65770847841184,"(3,E3)",47.98668698960631,"(3,E3)",56.91749589572554,"(3,E3)",65.3287069935954
6,"(1,E3)",-0.2970176609731591,"(3,E3)",73.15965773448674,"(3,E3)",80.38971263753103,"(3,E3)",87.02401983562112,"(3,E3)",93.0837800231112,"(3,E3)",98.59964537408412,"(3,E3)",103.60728504001432,"(3,E3)",108.14444629851556,"(3,E3)",112.249044501107,"(3,E3)",115.9579573297514,"(3,E3)",119.30629814665586,"(1,E3)",2.621224760374681,"(3,E3)",122.32701241806384,"(3,E3)",125.05068939481586,"(3,E3)",127.50551478386322,"(3,E3)",129.71731347507924,"(3,E3)",131.7096475891947,"(3,E3)",133.5039463444719,"(3,E3)",135.1196520088334,"(3,E3)",136.57437156231816,"(3,E3)",137.88402737577775,"(3,E3)",139.06300272751676,"(1,E3)",7.668531236577634,"(3,E3)",140.1242796870247,"(3,E3)",141.07956804276688,"(3,E3)",141.93942471242784,"(3,E3)",142.71336356957465,"(3,E3)",143.40995593422022,"(3,E3)",144.03692216438068,"(3,E3)",144.60121489173508,"(3,E3)",145.10909449475713,"(3,E3)",145.56619741639375,"(3,E3)",145.97759792367123,"(1,E3)",14.050878798942332,"(3,E3)",146.34786388250504,"(3,E3)",146.68110708854783,"(3,E3)",146.98102865820954,"(3,E3)",147.25095994571151,"(3,E3)",147.49389941392934,"(3,E3)",147.71254584992718,"(3,E3)",147.90932828113253,"(3,E3)",148.08643291539485,"(3,E3)",148.2458273978654,"(3,E3)",148.38928264975124,"(1,E3)",21.775963355634843,"(3,E3)",148.51839252847563,"(3,E3)",148.63459152551152,"(3,E3)",148.73917069700843,"(3,E3)",148.83329200315623,"(1,E3)",31.914318206317137,"(1,E3)",41.88419776095589,"(1,E3)",51.38309732333149,"(1,E3)",60.25940454880715
7,"(5,E3)",-0.3433024392415205,"(5,E3)",60.19042293953007,"(5,E3)",66.71183875582449,"(5,E3)",72.76959367022641,"(5,E3)",78.36257019339224,"(5,E3)",83.50172503288566,"(5,E3)",88.20586799669772,"(5,E3)",92.49862223628249,"(5,E3)",96.40625642381848,"(5,E3)",99.95615858556064,"(5,E3)",103.17578038801962,"(5,E3)",2.781987361265756,"(5,E3)",106.0919247598259,"(5,E3)",108.73028261620075,"(5,E3)",111.11514896663412,"(5,E3)",113.26926694699044,"(5,E3)",115.2137619078872,"(5,E3)",116.96813779528232,"(5,E3)",118.55031556139122,"(5,E3)",119.97669890546194,"(5,E3)",121.2622567585852,"(5,E3)",122.42061496364738,"(5,E3)",8.163823078036641,"(5,E3)",123.46415183637352,"(5,E3)",124.40409393192004,"(5,E3)",125.25060953722712,"(5,E3)",126.01289827687027,"(5,E3)",126.69927584484503,"(5,E3)",127.31725332018247,"(5,E3)",127.873610837866,"(5,E3)",128.3744656033944,"(5,E3)",128.82533438564332,"(5,E3)",129.23119071778936,"(5,E3)",14.929327962058604,"(5,E3)",129.59651709430747,"(5,E3)",129.9253524840118,"(5,E3)",130.22133549256725,"(5,E3)",130.4877435085579,"(5,E3)",130.7275281592269,"(5,E3)",130.94334738841812,"(5,E3)",131.1375944522327,"(5,E3)",131.3124241090092,"(5,E3)",131.4697762605417,"(5,E3)",131.61139728171793,"(5,E3)",22.45596638760857,"(5,E3)",131.7388592564984,"(5,E3)",131.85357731970043,"(5,E3)",131.95682528659955,"(5,E3)",132.04974973602464,"(5,E3)",30.305431994473075,"(5,E3)",38.17449565431016,"(5,E3)",45.85851016593822,"(5,E3)",53.224355698832895
8,"(2,E3)",-0.2357669457996645,"(4,E3)",66.97911080185574,"(4,E3)",74.45524561300316,"(4,E3)",81.26236663986839,"(4,E3)",87.43768260624738,"(4,E3)",93.02589837551255,"(4,E3)",98.0742278793182,"(4,E3)",102.62950654023624,"(4,E3)",106.73658850873856,"(4,E3)",110.4375239521884,"(4,E3)",113.77120425759897,"(2,E3)",5.834330105915666,"(4,E3)",116.77328267232105,"(4,E3)",119.47625218971169,"(4,E3)",121.90960855071658,"(4,E3)",124.10005475319343,"(4,E3)",126.07172108007724,"(4,E3)",127.84638550618024,"(4,E3)",129.44368599070893,"(4,E3)",130.8813202059429,"(4,E3)",132.17523068492082,"(4,E3)",133.33977480934098,"(2,E3)",15.206441311592345,"(4,E3)",134.38787988624128,"(4,E3)",135.3311840159579,"(4,E3)",136.18016368153093,"(4,E3)",136.9442490820824,"(4,E3)",137.63192824578312,"(4,E3)",138.25084092623516,"(4,E3)",138.80786323037236,"(4,E3)",139.30918385895666,"(4,E3)",139.7603727699332,"(4,E3)",140.16644300463727,"(2,E3)",26.07365096715529,"(4,E3)",140.53190634954146,"(4,E3)",140.86082344312896,"(4,E3)",141.15684887911084,"(4,E3)",141.42327180369685,"(4,E3)",141.66305245586153,"(4,E3)",141.87885505527743,"(4,E3)",142.07307740250957,"(4,E3)",142.24787751984567,"(4,E3)",142.40519762845173,"(4,E3)",142.54678572806606,"(2,E3)",37.36759418179975,"(4,E3)",142.67421501888188,"(4,E3)",142.78890138133968,"(4,E3)",142.89211910800196,"(4,E3)",142.9850150622782,"(2,E3)",48.47385897577244,"(2,E3)",59.05546061026854,"(2,E3)",68.94350568629129,"(2,E3)",78.06961333707397
9,"(4,E3)",-0.3218861548197368,"(2,E3)",86.42427359131638,"(2,E3)",94.03130381824192,"(2,E3)",100.93228516287566,"(2,E3)",107.1771757860351,"(2,E3)",112.81873775905832,"(2,E3)",117.9093101653536,"(2,E3)",122.49901799566165,"(2,E3)",126.63485275974368,"(2,E3)",130.3602759966863,"(2,E3)",133.71513059002504,"(4,E3)",2.358050257066964,"(2,E3)",136.73572780580832,"(2,E3)",139.4550294486014,"(2,E3)",141.90287640283267,"(2,E3)",144.10623451661127,"(2,E3)",146.0894409086727,"(2,E3)",147.87444120752716,"(2,E3)",149.48101275038445,"(2,E3)",150.9269714876648,"(2,E3)",152.22836194628755,"(2,E3)",153.39963052951217,"(4,E3)",7.060434276956638,"(2,E3)",154.4537829383819,"(2,E3)",155.4025267542434,"(2,E3)",156.25640032502437,"(2,E3)",157.02488911258263,"(2,E3)",157.71653062291355,"(2,E3)",158.3390089787295,"(2,E3)",158.89924011902676,"(2,E3)",159.4034485311156,"(2,E3)",159.85723634206497,"(2,E3)",160.26564552129764,"(4,E3)",13.05916837079912,"(2,E3)",160.63321387555456,"(2,E3)",160.96402545222048,"(2,E3)",161.26175590720624,"(2,E3)",161.52971333908525,"(2,E3)",161.7708750417092,"(2,E3)",161.98792058274017,"(2,E3)",162.18326157506243,"(2,E3)",162.35906847150903,"(2,E3)",162.5172946803995,"(2,E3)",162.6596982697004,"(4,E3)",20.45072873922574,"(2,E3)",162.7878615008799,"(2,E3)",162.90320840944457,"(2,E3)",163.00702062746586,"(2,E3)",163.10045162387982,"(4,E3)",30.557069326714075,"(4,E3)",40.49546661891724,"(4,E3)",49.96437115003563,"(4,E3)",58.81264932741699
10,"(4,E2)",-0.3218861548197368,"(5,E2)",60.18993552794387,"(5,E2)",66.71132149298299,"(5,E2)",72.76905184338156,"(5,E2)",78.36200832036984,"(5,E2)",83.5011469141964,"(5,E2)",88.20527679022531,"(5,E2)",92.49802053986586,"(5,E2)",96.40564635701048,"(5,E2)",99.95554186573662,"(5,E2)",103.17515839849408,"(4,E2)",2.358029492428878,"(5,E2)",106.09129860917332,"(5,E2)",108.72965318888924,"(5,E2)",111.11451696558424,"(5,E2)",113.26863292891386,"(5,E2)",115.2131263123422,"(5,E2)",116.96750096836914,"(5,E2)",118.54967777494358,"(5,E2)",119.97606037250064,"(5,E2)",121.2616176456986,"(5,E2)",122.4199754008668,"(4,E2)",7.0603814812924215,"(5,E2)",123.46351192501972,"(5,E2)",124.40345375081644,"(5,E2)",125.24996914760462,"(5,E2)",126.0122577262286,"(5,E2)",126.69863516998512,"(5,E2)",127.31661254958236,"(5,E2)",127.87296999353876,"(5,E2)",128.37382470233808,"(5,E2)",128.8246934409707,"(5,E2)",129.23054973960674,"(4,E2)",13.059078517422988,"(5,E2)",129.59587609039727,"(5,E2)",129.924711460362,"(5,E2)",130.22069445378162,"(5,E2)",130.48710245817344,"(5,E2)",130.726887099959,"(5,E2)",130.94270632235026,"(5,E2)",131.13695338096238,"(5,E2)",131.31178303376055,"(5,E2)",131.4691351822523,"(5,E2)",131.61075620110543,"(4,E2)",19.820448524809716,"(5,E2)",131.7382181741118,"(5,E2)",131.85293623595965,"(5,E2)",131.9561842018255,"(5,E2)",132.0491086504624,"(4,E2)",26.9565947548351,"(4,E2)",34.189683435364174,"(4,E2)",41.32463643511792,"(4,E2)",48.228282899717215
11,"(5,E2)",-0.3433024392415205,"(2,E2)",86.42427359131638,"(2,E2)",94.03130381824192,"(2,E2)",100.93228516287566,"(2,E2)",107.1771757860351,"(2,E2)",112.81873775905832,"(2,E2)",117.9093101653536,"(2,E2)",122.49901799566165,"(2,E2)",126.63485275974368,"(2,E2)",130.3602759966863,"(2,E2)",133.71513059002504,"(5,E2)",2.7819466731271403,"(2,E2)",136.73572780580832,"(2,E2)",139.4550294486014,"(2,E2)",141.90287640283267,"(2,E2)",144.10623451661127,"(2,E2)",146.0894409086727,"(2,E2)",147.87444120752716,"(2,E2)",149.48101275038445,"(2,E2)",150.9269714876648,"(2,E2)",152.22836194628755,"(2,E2)",153.39963052951217,"(5,E2)",8.163721514518462,"(2,E2)",154.4537829383819,"(2,E2)",155.4025267542434,"(2,E2)",156.25640032502437,"(2,E2)",157.02488911258263,"(2,E2)",157.71653062291355,"(2,E2)",158.3390089787295,"(2,E2)",158.89924011902676,"(2,E2)",159.4034485311156,"(2,E2)",159.85723634206497,"(2,E2)",160.26564552129764,"(5,E2)",14.929158089716964,"(2,E2)",160.63321387555456,"(2,E2)",160.96402545222048,"(2,E2)",161.26175590720624,"(2,E2)",161.52971333908525,"(2,E2)",161.7708750417092,"(2,E2)",161.98792058274017,"(2,E2)",162.18326157506243,"(2,E2)",162.35906847150903,"(2,E2)",162.5172946803995,"(2,E2)",162.6596982697004,"(5,E2)",22.45572838196982,"(2,E2)",162.7878615008799,"(2,E2)",162.90320840944457,"(2,E2)",163.00702062746586,"(2,E2)",163.10045162387982,"(5,E2)",30.305130278001403,"(5,E2)",38.17413674542908,"(5,E2)",45.85810134229032,"(5,E2)",53.22390420103713
